iter	Passed	Remaining
0	7	7553
1	15	7531
2	23	7791
3	34	8531
4	42	8554
5	51	8579
6	59	8472
7	68	8441
8	77	8522
9	89	8831
10	97	8798
11	107	8823
12	112	8576
13	116	8187
14	119	7860
15	122	7561
16	126	7317
17	129	7084
18	133	6895
19	137	6727
20	140	6572
21	144	6412
22	147	6278
23	151	6140
24	154	6035
25	158	5926
26	161	5828
27	165	5730
28	168	5653
29	172	5566
30	175	5493
31	179	5419
32	182	5360
33	186	5294
34	189	5235
35	193	5174
36	196	5119
37	200	5063
38	204	5027
39	207	4975
40	210	4931
41	214	4883
42	217	4845
43	220	4797
44	224	4760
45	226	4691
46	229	4662
47	233	4624
48	236	4594
49	239	4542
50	242	4511
51	246	4490
52	249	4465
53	252	4432
54	256	4409
55	259	4381
56	263	4357
57	266	4330
58	270	4308
59	274	4300
60	278	4283
61	281	4259
62	285	4241
63	288	4217
64	292	4204
65	295	4182
66	299	4164
67	302	4142
68	305	4126
69	309	4106
70	312	4091
71	315	4070
72	319	4062
73	323	4051
74	327	4040
75	330	4022
76	335	4022
77	339	4012
78	343	4004
79	347	3990
80	350	3974
81	353	3959
82	358	3956
83	362	3953
84	367	3951
85	374	3974
86	381	4000
87	384	3986
88	387	3970
89	391	3956
90	394	3941
91	397	3926
92	401	3913
93	404	3899
94	407	3884
95	411	3874
96	414	3863
97	418	3851
98	422	3844
99	425	3832
100	429	3823
101	432	3811
102	436	3802
103	439	3789
104	443	3780
105	446	3766
106	450	3757
107	453	3745
108	457	3738
109	460	3728
110	464	3719
111	468	3710
112	472	3707
113	475	3695
114	479	3691
115	482	3679
116	486	3670
117	489	3659
118	493	3650
119	496	3638
120	499	3630
121	505	3636
122	508	3626
123	512	3621
124	515	3610
125	519	3602
126	522	3591
127	526	3584
128	529	3575
129	533	3569
130	536	3559
131	540	3551
132	543	3540
133	546	3532
134	549	3522
135	553	3514
136	556	3505
137	560	3498
138	563	3489
139	566	3481
140	570	3472
141	573	3467
142	577	3459
143	580	3451
144	583	3442
145	587	3434
146	590	3424
147	593	3416
148	596	3407
149	600	3400
150	603	3392
151	607	3387
152	610	3379
153	613	3372
154	616	3363
155	620	3357
156	623	3349
157	627	3342
158	630	3334
159	633	3327
160	636	3319
161	640	3312
162	643	3304
163	647	3298
164	650	3290
165	654	3285
166	657	3277
167	660	3272
168	663	3264
169	667	3258
170	671	3253
171	674	3247
172	677	3238
173	681	3232
174	684	3225
175	687	3218
176	691	3214
177	694	3209
178	698	3201
179	701	3196
180	704	3189
181	708	3182
182	711	3175
183	714	3169
184	717	3162
185	720	3155
186	724	3148
187	727	3142
188	730	3135
189	733	3128
190	736	3121
191	741	3120
192	746	3119
193	751	3120
194	754	3116
195	759	3114
196	762	3108
197	766	3106
198	770	3102
199	774	3097
200	778	3094
201	781	3086
202	784	3079
203	788	3077
204	791	3069
205	795	3064
206	798	3058
207	801	3052
208	804	3044
209	808	3039
210	810	3032
211	814	3026
212	817	3020
213	820	3014
214	823	3007
215	826	3000
216	829	2993
217	833	2988
218	836	2981
219	839	2975
220	842	2968
221	845	2964
222	848	2957
223	852	2952
224	855	2945
225	858	2939
226	861	2933
227	864	2926
228	867	2920
229	870	2914
230	873	2908
231	876	2901
232	879	2895
233	883	2891
234	886	2884
235	889	2879
236	892	2873
237	896	2868
238	898	2862
239	902	2856
240	905	2850
241	908	2844
242	911	2838
243	914	2832
244	917	2826
245	920	2822
246	924	2817
247	927	2813
248	930	2806
249	933	2801
250	937	2796
251	940	2791
252	943	2785
253	946	2779
254	950	2775
255	953	2770
256	956	2764
257	959	2758
258	962	2753
259	965	2748
260	968	2743
261	972	2739
262	975	2734
263	978	2728
264	983	2727
265	986	2723
266	989	2717
267	993	2712
268	996	2708
269	999	2703
270	1002	2697
271	1005	2692
272	1008	2686
273	1011	2680
274	1014	2675
275	1018	2671
276	1021	2665
277	1024	2660
278	1027	2654
279	1030	2649
280	1033	2644
281	1037	2640
282	1039	2634
283	1042	2629
284	1046	2624
285	1049	2619
286	1052	2614
287	1055	2609
288	1059	2606
289	1062	2601
290	1065	2596
291	1069	2593
292	1072	2587
293	1075	2582
294	1078	2577
295	1081	2573
296	1085	2569
297	1088	2565
298	1091	2559
299	1095	2555
300	1098	2550
301	1101	2545
302	1104	2540
303	1107	2535
304	1110	2530
305	1113	2526
306	1117	2522
307	1120	2517
308	1123	2512
309	1126	2507
310	1129	2501
311	1132	2496
312	1136	2493
313	1139	2489
314	1142	2484
315	1146	2481
316	1149	2476
317	1152	2471
318	1155	2466
319	1158	2462
320	1161	2457
321	1165	2453
322	1168	2448
323	1171	2444
324	1174	2440
325	1177	2435
326	1181	2430
327	1184	2426
328	1187	2421
329	1190	2417
330	1193	2412
331	1196	2408
332	1199	2403
333	1202	2398
334	1205	2393
335	1209	2390
336	1212	2386
337	1216	2381
338	1219	2376
339	1222	2372
340	1226	2370
341	1230	2368
342	1233	2363
343	1236	2358
344	1240	2354
345	1243	2349
346	1246	2345
347	1249	2340
348	1252	2336
349	1255	2332
350	1259	2328
351	1262	2324
352	1265	2319
353	1268	2315
354	1271	2310
355	1275	2307
356	1278	2302
357	1281	2298
358	1284	2293
359	1288	2290
360	1291	2285
361	1294	2281
362	1297	2276
363	1300	2272
364	1303	2267
365	1307	2264
366	1309	2259
367	1313	2255
368	1316	2250
369	1319	2246
370	1322	2241
371	1326	2239
372	1329	2234
373	1332	2230
374	1335	2226
375	1339	2222
376	1342	2218
377	1345	2214
378	1349	2211
379	1353	2208
380	1356	2204
381	1360	2201
382	1364	2197
383	1368	2194
384	1372	2192
385	1375	2188
386	1378	2184
387	1382	2180
388	1385	2176
389	1389	2173
390	1392	2169
391	1396	2165
392	1399	2161
393	1403	2159
394	1407	2155
395	1410	2151
396	1413	2146
397	1416	2142
398	1419	2138
399	1423	2134
400	1425	2130
401	1428	2125
402	1431	2121
403	1435	2116
404	1438	2112
405	1441	2108
406	1444	2104
407	1447	2099
408	1450	2095
409	1453	2092
410	1456	2087
411	1460	2083
412	1462	2079
413	1466	2075
414	1472	2075
415	1475	2071
416	1478	2067
417	1481	2063
418	1484	2058
419	1487	2054
420	1491	2050
421	1494	2046
422	1497	2042
423	1500	2038
424	1504	2034
425	1507	2030
426	1510	2026
427	1513	2022
428	1516	2018
429	1519	2014
430	1522	2010
431	1525	2006
432	1529	2002
433	1531	1997
434	1535	1993
435	1538	1989
436	1541	1985
437	1544	1981
438	1547	1977
439	1550	1973
440	1553	1969
441	1556	1965
442	1560	1961
443	1563	1957
444	1566	1953
445	1570	1950
446	1573	1946
447	1576	1942
448	1579	1938
449	1582	1934
450	1585	1930
451	1589	1926
452	1592	1922
453	1595	1918
454	1598	1914
455	1601	1910
456	1604	1906
457	1608	1903
458	1611	1899
459	1614	1895
460	1618	1891
461	1621	1887
462	1624	1883
463	1627	1879
464	1630	1875
465	1632	1871
466	1636	1867
467	1639	1863
468	1642	1859
469	1645	1855
470	1648	1851
471	1650	1846
472	1653	1842
473	1656	1838
474	1659	1834
475	1662	1830
476	1665	1826
477	1668	1822
478	1672	1819
479	1675	1815
480	1678	1811
481	1681	1807
482	1685	1803
483	1688	1799
484	1691	1795
485	1694	1791
486	1697	1788
487	1701	1784
488	1704	1781
489	1707	1777
490	1710	1773
491	1714	1769
492	1718	1767
493	1721	1763
494	1724	1759
495	1727	1755
496	1730	1751
497	1733	1747
498	1736	1743
499	1739	1739
500	1743	1736
501	1746	1732
502	1750	1729
503	1752	1725
504	1755	1721
505	1758	1716
506	1761	1713
507	1765	1709
508	1768	1705
509	1771	1701
510	1774	1697
511	1777	1694
512	1780	1690
513	1783	1686
514	1786	1682
515	1789	1678
516	1792	1674
517	1796	1671
518	1799	1667
519	1802	1663
520	1805	1660
521	1808	1656
522	1812	1652
523	1815	1648
524	1818	1644
525	1820	1640
526	1824	1637
527	1827	1633
528	1830	1629
529	1833	1625
530	1836	1621
531	1839	1617
532	1842	1614
533	1844	1610
534	1848	1606
535	1851	1602
536	1854	1599
537	1857	1595
538	1860	1591
539	1864	1588
540	1867	1584
541	1870	1580
542	1873	1576
543	1876	1572
544	1879	1569
545	1882	1565
546	1885	1561
547	1888	1557
548	1891	1553
549	1895	1550
550	1897	1546
551	1901	1542
552	1904	1539
553	1907	1535
554	1910	1531
555	1913	1528
556	1916	1524
557	1920	1520
558	1922	1517
559	1926	1513
560	1929	1509
561	1932	1505
562	1935	1502
563	1938	1498
564	1941	1494
565	1944	1490
566	1948	1487
567	1951	1484
568	1954	1480
569	1957	1476
570	1962	1474
571	1965	1470
572	1968	1467
573	1972	1463
574	1975	1459
575	1978	1456
576	1981	1452
577	1984	1448
578	1987	1445
579	1990	1441
580	1993	1437
581	1997	1434
582	2000	1430
583	2003	1427
584	2006	1423
585	2009	1419
586	2011	1415
587	2014	1411
588	2017	1408
589	2020	1404
590	2023	1400
591	2026	1396
592	2030	1393
593	2033	1389
594	2036	1385
595	2040	1382
596	2043	1379
597	2046	1375
598	2049	1371
599	2052	1368
600	2055	1364
601	2058	1361
602	2062	1357
603	2065	1354
604	2068	1350
605	2071	1347
606	2075	1343
607	2077	1339
608	2081	1336
609	2084	1332
610	2087	1328
611	2090	1325
612	2093	1321
613	2096	1318
614	2100	1314
615	2103	1311
616	2106	1307
617	2109	1303
618	2112	1300
619	2116	1296
620	2119	1293
621	2122	1289
622	2125	1286
623	2128	1282
624	2131	1278
625	2134	1275
626	2137	1271
627	2140	1267
628	2143	1264
629	2147	1261
630	2150	1257
631	2153	1253
632	2156	1250
633	2159	1246
634	2162	1242
635	2165	1239
636	2168	1235
637	2171	1231
638	2174	1228
639	2177	1224
640	2180	1221
641	2183	1217
642	2186	1214
643	2189	1210
644	2192	1206
645	2196	1203
646	2199	1199
647	2202	1196
648	2206	1193
649	2209	1189
650	2212	1186
651	2215	1182
652	2219	1179
653	2222	1175
654	2225	1172
655	2228	1168
656	2231	1164
657	2234	1161
658	2237	1157
659	2240	1154
660	2243	1150
661	2247	1147
662	2250	1143
663	2254	1140
664	2256	1136
665	2259	1133
666	2263	1129
667	2266	1126
668	2269	1122
669	2272	1119
670	2275	1115
671	2278	1112
672	2281	1108
673	2285	1105
674	2288	1101
675	2291	1098
676	2294	1094
677	2297	1091
678	2300	1087
679	2303	1083
680	2306	1080
681	2309	1076
682	2312	1073
683	2316	1070
684	2319	1066
685	2322	1062
686	2325	1059
687	2328	1055
688	2331	1052
689	2334	1048
690	2337	1045
691	2340	1041
692	2343	1038
693	2346	1034
694	2349	1031
695	2352	1027
696	2356	1024
697	2359	1021
698	2362	1017
699	2366	1014
700	2369	1010
701	2373	1007
702	2375	1003
703	2378	1000
704	2382	996
705	2385	993
706	2387	989
707	2390	986
708	2394	982
709	2397	979
710	2400	975
711	2403	972
712	2406	968
713	2409	965
714	2412	961
715	2416	958
716	2419	954
717	2422	951
718	2425	947
719	2428	944
720	2431	940
721	2434	937
722	2437	933
723	2440	930
724	2443	926
725	2446	923
726	2451	920
727	2455	917
728	2458	913
729	2461	910
730	2464	907
731	2467	903
732	2470	900
733	2473	896
734	2476	893
735	2479	889
736	2483	886
737	2486	882
738	2489	879
739	2492	875
740	2496	872
741	2499	869
742	2502	865
743	2505	862
744	2508	858
745	2511	855
746	2514	851
747	2517	848
748	2520	844
749	2523	841
750	2526	837
751	2529	834
752	2533	830
753	2536	827
754	2539	824
755	2542	820
756	2545	817
757	2548	813
758	2551	810
759	2554	806
760	2558	803
761	2561	799
762	2564	796
763	2567	793
764	2570	789
765	2573	786
766	2576	782
767	2580	779
768	2583	776
769	2586	772
770	2589	769
771	2592	765
772	2596	762
773	2599	758
774	2602	755
775	2605	752
776	2608	748
777	2611	745
778	2615	742
779	2619	738
